Reviews,ProductRelated,ExitRates,PageValues>=20,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Purchase
0,1,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
0,2,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
0,1,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False
0,2,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False
0,10,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False
0,19,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,1,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False
1,0,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False
0,2,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False
0,3,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
0,3,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
0,16,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False
0,7,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,6,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
0,2,0.1,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
2,23,0.016312636,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
0,1,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
0,13,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
0,2,0.1,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,20,0.01,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False
0,8,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False
0,2,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,False,False
0,3,0.033333333,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,False,False
0,2,0.1,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,False,False
0,1,0.2,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,True,False
0,5,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
4,32,0.00952381,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
0,4,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
0,4,0.05,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,False,False
1,45,0.050821256,1.0,0.4,Feb,3,2,1,1,Returning_Visitor,False,False
0,2,0.1,0.0,0.0,Feb,1,1,6,3,Returning_Visitor,False,False
0,3,0.066666667,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,True,False
0,8,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
0,10,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,False,False
0,14,0.028571429,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,False,False
0,52,0.020352564,0.0,0.0,Feb,2,2,7,1,Returning_Visitor,False,False
0,8,0.05625,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,True,False
2,5,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,False,False
0,7,0.071428571,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,False,False
0,9,0.022222222,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,False,False
1,46,0.001794872,0.0,0.0,Feb,2,2,8,4,Returning_Visitor,False,False
0,3,0.066666667,0.0,0.6,Feb,1,1,3,2,Returning_Visitor,False,False
0,15,0.006666667,0.0,0.0,Feb,1,1,4,4,Returning_Visitor,False,False
0,2,0.05,0.0,0.4,Feb,3,2,2,3,Returning_Visitor,False,False
0,4,0.05,0.0,0.0,Feb,4,1,1,3,Returning_Visitor,False,False
0,22,0.006060606,0.0,0.2,Feb,2,5,1,4,Returning_Visitor,False,False
0,14,0.057142857,0.0,0.0,Feb,1,1,1,2,Returning_Visitor,False,False
0,3,0.133333333,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
0,11,0.003636364,0.0,0.0,Feb,3,2,1,3,Returning_Visitor,False,False
0,1,0.2,0.0,0.6,Feb,2,2,3,2,Returning_Visitor,False,False
0,1,0.2,0.0,0.0,Feb,1,1,3,4,Returning_Visitor,True,False
0,12,0.026111111,0.0,0.2,Feb,3,2,1,3,Returning_Visitor,False,False
